date,open,high,low,close,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2014-10-21,141.9893,142.2283,137.9617,139.2844,20953605,20953605,-5.0089,-3.471,139.2766,"Oct 21, 14",-0.113796670861705
2014-10-22,138.5847,141.1446,137.4668,138.0556,11091424,11091424,-1.2288,-0.882,139.0432,"Oct 22, 14",-0.12161496674297485
2014-10-23,138.3372,138.943,137.8423,138.3884,7600270,7600270,0.332787,0.241,138.3978,"Oct 23, 14",-0.11949751160846434
2014-10-24,138.3031,138.6103,137.7655,138.3031,6652379,6652379,-0.085327,-0.062,138.1158,"Oct 24, 14",-0.12004023673759213
2014-10-27,138.2348,139.0113,138.0727,138.1239,4989437,4989437,-0.179194,-0.13,138.4253,"Oct 27, 14",-0.12118040488694404
2014-10-28,138.2348,139.6001,138.0641,139.6001,7896863,7896863,1.4762,1.069,138.7962,"Oct 28, 14",-0.1117880152548391
2014-10-29,140.223,140.4662,138.8833,139.4806,4741689,4741689,-0.119462,-0.086,139.6582,"Oct 29, 14",-0.11254833943925613
2014-10-30,139.5148,140.4705,139.1052,140.2401,3895979,3895979,0.759438,0.544,139.8508,"Oct 30, 14",-0.10771598615001098
2014-10-31,141.2043,141.2982,139.6142,140.2827,5818375,5818375,0.042665,0.03,140.024,"Oct 31, 14",-0.10744494171272091
2014-11-03,140.1547,140.4022,139.4081,140.2486,4690274,4690274,-0.034133,-0.024,139.9821,"Nov 3, 14",-0.1076619045134625
2014-11-04,140.2315,140.2486,138.4396,138.7894,4247079,4247079,-1.4591,-1.04,139.0983,"Nov 4, 14",-0.11694613087247047
2014-11-05,139.199,139.5489,137.8594,138.0812,4104747,4104747,-0.708236,-0.51,138.2375,"Nov 5, 14",-0.12145208557878176
2014-11-06,138.5624,138.7772,137.5056,138.717,4067641,4067641,0.635806,0.46,138.3292,"Nov 6, 14",-0.11740677916495405
2014-11-07,138.6827,139.3587,138.1929,139.2411,3494803,3494803,0.524078,0.378,138.9048,"Nov 7, 14",-0.11407216908082862
2014-11-10,139.095,141.303,138.8459,140.4611,4958236,4958236,1.22,0.876,140.6575,"Nov 10, 14",-0.10630986359975021
2014-11-11,140.6415,140.8133,139.6964,140.2978,3535694,3535694,-0.163238,-0.116,140.3398,"Nov 11, 14",-0.10734886727602894
